Customer_ID,Age,Gender,Annual_Income,Total_Spend,Years_as_Customer,Num_of_Purchases,Num_of_Returns,Num_of_Support_Contacts,Satisfaction_Score,Last_Purchase_Days_Ago,Email_Opt_In,Promotion_Response,Churned
1,65,Male,79.51,9025.47,13,77,2,2,3,227,FALSE,Responded,FALSE
2,18,Male,29.19,618.83,13,71,5,2,2,283,FALSE,Responded,TRUE
3,57,Male,190.43,255.19,19,85,5,1,4,130,FALSE,Unsubscribed,FALSE
4,27,Male,172.13,3512.55,3,77,0,3,1,61,TRUE,Unsubscribed,FALSE
5,54,Male,138.9,4283.84,15,33,9,1,2,92,TRUE,Responded,FALSE
6,41,Female,47.43,3333.69,4,10,0,0,2,213,FALSE,Responded,TRUE
7,42,Female,38.04,5524.28,12,4,5,4,2,212,FALSE,Ignored,TRUE
8,42,Female,176.08,6855.03,17,64,6,0,1,125,FALSE,Ignored,TRUE
9,30,Male,72.97,8076.45,9,63,5,0,3,304,FALSE,Unsubscribed,FALSE
10,19,Male,98.36,6747.13,10,9,7,3,2,274,TRUE,Responded,TRUE
11,56,Female,163.18,4281.83,3,29,7,0,3,197,TRUE,Unsubscribed,FALSE
12,57,Male,141.95,1335.48,15,14,7,3,4,4,FALSE,Responded,FALSE
13,42,Female,37.61,4247.04,10,13,0,4,1,199,FALSE,Responded,FALSE
14,35,Female,179.18,9116.18,14,3,8,0,2,193,TRUE,Responded,TRUE
15,31,Female,29.67,8346.59,6,60,5,2,1,35,TRUE,Unsubscribed,FALSE
16,27,Male,50.14,1000.6,3,80,8,3,1,317,FALSE,Unsubscribed,FALSE
17,38,Male,167.94,9811.7,13,12,9,4,5,128,FALSE,Ignored,TRUE
18,69,Female,146.1,2533.91,7,10,6,4,1,31,FALSE,Unsubscribed,FALSE
19,34,Male,178.95,7134,17,63,7,1,4,274,FALSE,Ignored,TRUE
20,69,Female,193.98,5100.62,18,66,5,4,1,325,TRUE,Responded,TRUE
21,23,Male,159.45,4839.85,4,91,1,4,1,193,FALSE,Ignored,TRUE
22,33,Male,198.96,2515.01,5,12,5,4,5,253,TRUE,Unsubscribed,TRUE
23,65,Female,130.66,7249.29,11,96,4,2,5,196,FALSE,Responded,TRUE
24,36,Female,22.57,9905.49,19,59,2,3,1,102,FALSE,Responded,TRUE
25,53,Female,81.58,8469.2,5,76,2,0,2,216,TRUE,Ignored,FALSE
26,67,Male,175.9,4303.07,18,73,1,2,5,360,TRUE,Responded,FALSE
27,69,Female,192.95,2936,14,26,3,3,4,263,TRUE,Unsubscribed,FALSE
28,47,Female,31.72,5065.76,17,31,9,0,1,202,TRUE,Responded,TRUE
29,37,Female,28.02,8806.23,9,34,6,1,1,273,FALSE,Responded,FALSE
30,37,Male,184.39,2822.56,14,88,7,0,1,121,FALSE,Ignored,TRUE
31,32,Male,74.91,5055.32,12,21,8,2,4,276,FALSE,Unsubscribed,TRUE
32,50,Female,196.84,3437.78,18,9,1,0,2,277,TRUE,Responded,FALSE
33,50,Female,92.16,5757.82,12,31,7,2,4,287,FALSE,Unsubscribed,TRUE
34,49,Female,158.28,7354.87,15,85,5,2,4,352,TRUE,Responded,FALSE
35,41,Male,62.75,3724.56,18,23,6,4,1,86,TRUE,Ignored,FALSE
36,29,Male,66.45,935.94,10,43,3,2,5,37,FALSE,Responded,FALSE
37,68,Male,115.82,1738.28,12,49,5,3,2,130,TRUE,Responded,FALSE
38,52,Female,190.87,6265.61,11,21,2,1,3,171,TRUE,Ignored,FALSE
39,54,Male,50.41,1505.67,8,66,7,3,4,86,TRUE,Responded,TRUE
40,56,Female,94.48,4331.87,5,31,9,2,4,251,FALSE,Ignored,FALSE
41,33,Male,74.59,2342.26,13,57,8,3,3,105,TRUE,Ignored,FALSE
42,22,Female,84.06,4862.91,7,22,5,3,5,261,TRUE,Responded,TRUE
43,59,Female,165.85,2590.08,3,70,1,1,2,4,FALSE,Unsubscribed,TRUE
44,60,Male,123.97,8779.15,12,17,6,4,2,323,FALSE,Ignored,TRUE
45,49,Female,33.55,3310.3,13,44,8,4,1,259,FALSE,Responded,FALSE
46,19,Female,34.08,9253.77,16,24,1,4,5,262,FALSE,Unsubscribed,FALSE
